CONTAINER EXECUTION DATA
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5

Container ID,Memory Allocated (MB),Expected Duration (s),Launch Time (s),Completion Time (s),Actual Duration (s),Duration Accuracy,Success,Execution Status,Memory Efficiency %
1,862.0,60,1774277147.78,1774277215.54,67.76,87.1%,Yes,✓ Completed,21.0%
2,1293.0,60,1774277152.78,1774277216.42,63.64,93.9%,Yes,✓ Completed,31.6%
3,1939.5,60,1774277157.78,1774277221.49,63.71,93.8%,Yes,✓ Completed,47.4%
4,862.0,60,1774277217.79,1774277281.37,63.58,94.0%,Yes,✓ Completed,21.0%
5,1293.0,60,1774277222.79,1774277286.42,63.63,94.0%,Yes,✓ Completed,31.6%
6,1939.5,60,1774277227.80,1774277291.52,63.73,93.8%,Yes,✓ Completed,47.4%
7,862.0,60,1774277282.80,1774277346.57,63.77,93.7%,Yes,✓ Completed,21.0%
8,1293.0,60,1774277287.80,1774277351.40,63.59,94.0%,Yes,✓ Completed,31.6%
9,1939.5,60,1774277292.81,1774277356.50,63.69,93.8%,Yes,✓ Completed,47.4%
10,862.0,60,1774277347.82,1774277411.55,63.73,93.8%,Yes,✓ Completed,21.0%
11,1293.0,60,1774277352.82,1774277416.51,63.69,93.9%,Yes,✓ Completed,31.6%
12,1939.5,60,1774277357.83,1774277421.41,63.59,94.0%,Yes,✓ Completed,47.4%
13,862.0,60,1774277412.83,1774277476.54,63.70,93.8%,Yes,✓ Completed,21.0%
14,1293.0,60,1774277417.83,1774277481.54,63.70,93.8%,Yes,✓ Completed,31.6%
15,1939.5,60,1774277422.84,1774277486.55,63.72,93.8%,Yes,✓ Completed,47.4%
16,862.0,60,1774277477.84,1774277541.54,63.70,93.8%,Yes,✓ Completed,21.0%
17,1293.0,60,1774277482.84,1774277546.44,63.60,94.0%,Yes,✓ Completed,31.6%
18,1939.5,60,1774277487.85,1774277551.53,63.68,93.9%,Yes,✓ Completed,47.4%
19,862.0,60,1774277542.85,1774277606.59,63.74,93.8%,Yes,✓ Completed,21.0%
20,1293.0,60,1774277547.85,1774277611.56,63.71,93.8%,Yes,✓ Completed,31.6%
21,1939.5,60,1774277552.85,1774277616.52,63.67,93.9%,Yes,✓ Completed,47.4%
22,862.0,60,1774277607.86,1774277671.58,63.72,93.8%,Yes,✓ Completed,21.0%
23,1293.0,60,1774277612.86,1774277676.55,63.69,93.9%,Yes,✓ Completed,31.6%
24,1939.5,60,1774277617.86,1774277681.62,63.76,93.7%,Yes,✓ Completed,47.4%
25,862.0,60,1774277672.87,1774277736.57,63.71,93.8%,Yes,✓ Completed,21.0%
26,1293.0,60,1774277677.87,1774277741.49,63.62,94.0%,Yes,✓ Completed,31.6%
27,1939.5,60,1774277682.87,1774277746.61,63.74,93.8%,Yes,✓ Completed,47.4%
28,862.0,60,1774277737.88,1774277801.49,63.61,94.0%,Yes,✓ Completed,21.0%
29,1293.0,60,1774277742.88,1774277806.74,63.86,93.6%,Yes,✓ Completed,31.6%
30,1939.5,60,1774277747.89,1774277811.62,63.73,93.8%,Yes,✓ Completed,47.4%
31,862.0,60,1774277802.89,1774277866.57,63.68,93.9%,Yes,✓ Completed,21.0%
32,1293.0,60,1774277807.89,1774277871.48,63.59,94.0%,Yes,✓ Completed,31.6%
33,1939.5,60,1774277812.89,1774277876.66,63.77,93.7%,Yes,✓ Completed,47.4%
34,862.0,60,1774277867.90,1774277931.61,63.71,93.8%,Yes,✓ Completed,21.0%
35,1293.0,60,1774277872.90,1774277936.58,63.68,93.9%,Yes,✓ Completed,31.6%
36,1939.5,60,1774277877.90,1774277941.51,63.61,94.0%,Yes,✓ Completed,47.4%
37,862.0,60,1774277932.91,1774277996.62,63.71,93.8%,Yes,✓ Completed,21.0%
38,1293.0,60,1774277937.91,1774278001.56,63.65,93.9%,Yes,✓ Completed,31.6%
39,1939.5,60,1774277942.92,1774278006.67,63.75,93.7%,Yes,✓ Completed,47.4%
40,862.0,60,1774277997.92,1774278061.65,63.73,93.8%,Yes,✓ Completed,21.0%
41,1293.0,60,1774278002.92,1774278066.65,63.72,93.8%,Yes,✓ Completed,31.6%
42,1939.5,60,1774278007.93,1774278071.63,63.70,93.8%,Yes,✓ Completed,47.4%
43,862.0,60,1774278062.94,1774278126.72,63.77,93.7%,Yes,✓ Completed,21.0%
44,1293.0,60,1774278067.95,1774278131.72,63.78,93.7%,Yes,✓ Completed,31.6%
45,1939.5,60,1774278072.95,1774278136.67,63.72,93.8%,Yes,✓ Completed,47.4%
46,862.0,60,1774278127.95,1774278191.71,63.75,93.7%,Yes,✓ Completed,21.0%
47,1293.0,60,1774278132.96,1774278196.60,63.64,93.9%,Yes,✓ Completed,31.6%
48,1939.5,60,1774278137.96,1774278201.66,63.70,93.8%,Yes,✓ Completed,47.4%
49,862.0,60,1774278192.97,1774278256.71,63.75,93.8%,Yes,✓ Completed,21.0%
50,1293.0,60,1774278197.97,1774278261.71,63.74,93.8%,Yes,✓ Completed,31.6%
51,1939.5,60,1774278202.97,1774278266.74,63.76,93.7%,Yes,✓ Completed,47.4%
52,862.0,60,1774278257.98,1774278321.65,63.66,93.9%,Yes,✓ Completed,21.0%
53,1293.0,60,1774278262.99,1774278326.72,63.73,93.8%,Yes,✓ Completed,31.6%
54,1939.5,60,1774278267.99,1774278331.80,63.82,93.6%,Yes,✓ Completed,47.4%
55,862.0,60,1774278323.00,1774278386.71,63.71,93.8%,Yes,✓ Completed,21.0%
56,1293.0,60,1774278328.00,1774278391.65,63.65,93.9%,Yes,✓ Completed,31.6%
57,1939.5,60,1774278333.00,1774278396.70,63.70,93.8%,Yes,✓ Completed,47.4%
58,862.0,60,1774278388.02,1774278451.69,63.67,93.9%,Yes,✓ Completed,21.0%
59,1293.0,60,1774278393.03,1774278456.74,63.71,93.8%,Yes,✓ Completed,31.6%
60,1939.5,60,1774278398.03,1774278461.61,63.58,94.0%,Yes,✓ Completed,47.4%
61,862.0,60,1774278453.04,1774278516.75,63.71,93.8%,Yes,✓ Completed,21.0%
62,1293.0,60,1774278458.04,1774278521.75,63.71,93.8%,Yes,✓ Completed,31.6%
63,1939.5,60,1774278463.04,1774278526.75,63.71,93.8%,Yes,✓ Completed,47.4%
64,862.0,60,1774278518.05,1774278581.76,63.72,93.8%,Yes,✓ Completed,21.0%
65,1293.0,60,1774278523.05,1774278586.69,63.64,93.9%,Yes,✓ Completed,31.6%
66,1939.5,60,1774278528.05,1774278591.73,63.67,93.9%,Yes,✓ Completed,47.4%
67,862.0,60,1774278583.07,1774278646.75,63.68,93.9%,Yes,✓ Completed,21.0%
68,1293.0,60,1774278588.08,1774278651.80,63.72,93.8%,Yes,✓ Completed,31.6%
69,1939.5,60,1774278593.08,1774278656.89,63.81,93.7%,Yes,✓ Completed,47.4%
70,862.0,60,1774278648.09,1774278711.83,63.74,93.8%,Yes,✓ Completed,21.0%
71,1293.0,60,1774278653.09,1774278716.84,63.75,93.8%,Yes,✓ Completed,31.6%
72,1939.5,60,1774278658.09,1774278721.80,63.71,93.8%,Yes,✓ Completed,47.4%
73,862.0,60,1774278713.10,1774278776.80,63.70,93.8%,Yes,✓ Completed,21.0%
74,1293.0,60,1774278718.10,1774278781.69,63.59,94.0%,Yes,✓ Completed,31.6%
75,1939.5,60,1774278723.10,1774278786.78,63.68,93.9%,Yes,✓ Completed,47.4%
76,862.0,60,1774278778.10,1774278841.82,63.72,93.8%,Yes,✓ Completed,21.0%
77,1293.0,60,1774278783.11,1774278846.81,63.71,93.8%,Yes,✓ Completed,31.6%
78,1939.5,60,1774278788.11,1774278851.82,63.71,93.8%,Yes,✓ Completed,47.4%
79,862.0,60,1774278843.12,1774278906.87,63.75,93.7%,Yes,✓ Completed,21.0%
80,1293.0,60,1774278848.12,1774278911.81,63.70,93.8%,Yes,✓ Completed,31.6%
81,1939.5,60,1774278853.12,1774278916.86,63.74,93.8%,Yes,✓ Completed,47.4%
82,862.0,60,1774278908.13,1774278971.90,63.77,93.7%,Yes,✓ Completed,21.0%
83,1293.0,60,1774278913.14,1774278976.99,63.85,93.6%,Yes,✓ Completed,31.6%
84,1939.5,60,1774278918.14,1774278981.85,63.71,93.8%,Yes,✓ Completed,47.4%
85,862.0,60,1774278973.15,1774279036.75,63.60,94.0%,Yes,✓ Completed,21.0%
86,1293.0,60,1774278978.15,1774279041.88,63.73,93.8%,Yes,✓ Completed,31.6%
