COMPREHENSIVE EXECUTION SCHEDULE
Complete container lifecycle with concurrent execution details
Generated:,2026-03-30 14:45:42

CONFIGURATION
Base Memory:,125.0 MB
Memory Multiplier:,1.5x
Total GPU Memory:,4096.0 MB
Container Duration:,60s
Max Concurrent:,3
Reset Interval (cycle):,3

INDIVIDUAL CONTAINER EXECUTION
Container ID,Memory (MB),Type (n/cycle),Launch Time (s),Completion Time (s),Duration Actual (s),Status,State Count,Peak Concurrent,Overlapping Containers
1,125.0,1/3,1774878336.96,1774878400.77,63.81,✓ COMPLETED,5,2,"C2, C3"
2,187.5,2/3,1774878341.96,1774878405.61,63.65,✓ COMPLETED,5,3,"C1, C3, C4"
3,281.2,3/3,1774878346.97,1774878410.58,63.61,✓ COMPLETED,5,4,"C1, C2, C4, C5"
4,421.9,1/3,1774878402.02,1774878465.72,63.70,✓ COMPLETED,5,4,"C2, C3, C5, C6"
5,632.8,2/3,1774878407.02,1774878470.81,63.78,✓ COMPLETED,5,4,"C3, C4, C6, C7"
6,949.2,3/3,1774878412.03,1774878475.82,63.78,✓ COMPLETED,5,3,"C4, C5, C7"
7,1423.8,1/3,1774878467.08,1774878530.83,63.74,✓ COMPLETED,5,3,"C5, C6, C8"
8,2135.7,2/3,1774878475.82,1774878539.57,63.75,✓ COMPLETED,5,1,C7
9,3203.6,3/3,1774878539.57,1774878603.38,63.81,✓ COMPLETED,5,2,"C10, C11"
10,125.0,1/3,1774878542.16,1774878605.92,63.75,✓ COMPLETED,5,2,"C9, C11"
11,187.5,2/3,1774878547.16,1774878610.91,63.74,✓ COMPLETED,5,3,"C9, C10, C12"
12,281.2,3/3,1774878607.22,1774878670.92,63.70,✓ COMPLETED,5,3,"C11, C13, C14"
13,421.9,1/3,1774878612.23,1774878675.90,63.68,✓ COMPLETED,5,3,"C12, C14, C15"
14,632.8,2/3,1774878617.23,1774878680.94,63.72,✓ COMPLETED,5,4,"C12, C13, C15, C16"
15,949.2,3/3,1774878672.29,1774878735.93,63.64,✓ COMPLETED,5,3,"C13, C14, C16"
16,1423.8,1/3,1774878677.29,1774878740.99,63.70,✓ COMPLETED,5,3,"C14, C15, C17"
17,2135.7,2/3,1774878735.93,1774878799.76,63.83,✓ COMPLETED,5,1,C16
18,3203.6,3/3,1774878799.76,1774878863.40,63.64,✓ COMPLETED,5,2,"C19, C20"
19,125.0,1/3,1774878802.42,1774878866.17,63.75,✓ COMPLETED,5,2,"C18, C20"
20,187.5,2/3,1774878807.43,1774878871.14,63.71,✓ COMPLETED,5,3,"C18, C19, C21"
21,281.2,3/3,1774878867.48,1774878931.23,63.75,✓ COMPLETED,5,3,"C20, C22, C23"
22,421.9,1/3,1774878872.48,1774878936.18,63.70,✓ COMPLETED,5,3,"C21, C23, C24"
23,632.8,2/3,1774878877.49,1774878941.18,63.69,✓ COMPLETED,5,4,"C21, C22, C24, C25"
24,949.2,3/3,1774878932.55,1774878996.30,63.76,✓ COMPLETED,5,3,"C22, C23, C25"
25,1423.8,1/3,1774878937.55,1774879001.28,63.72,✓ COMPLETED,5,3,"C23, C24, C26"
26,2135.7,2/3,1774878996.30,1774879059.94,63.63,✓ COMPLETED,5,1,C25
27,3203.6,3/3,1774879059.94,1774879123.69,63.75,✓ COMPLETED,5,2,"C28, C29"
28,125.0,1/3,1774879062.68,1774879126.42,63.73,✓ COMPLETED,5,2,"C27, C29"
29,187.5,2/3,1774879067.69,1774879131.40,63.71,✓ COMPLETED,5,3,"C27, C28, C30"
30,281.2,3/3,1774879127.76,1774879191.44,63.68,✓ COMPLETED,5,3,"C29, C31, C32"
31,421.9,1/3,1774879132.77,1774879196.48,63.71,✓ COMPLETED,5,3,"C30, C32, C33"
32,632.8,2/3,1774879137.77,1774879201.42,63.65,✓ COMPLETED,5,4,"C30, C31, C33, C34"
33,949.2,3/3,1774879192.84,1774879256.53,63.69,✓ COMPLETED,5,3,"C31, C32, C34"
34,1423.8,1/3,1774879197.85,1774879261.64,63.78,✓ COMPLETED,5,3,"C32, C33, C35"
35,2135.7,2/3,1774879256.53,1774879320.28,63.75,✓ COMPLETED,5,1,C34
36,3203.6,3/3,1774879320.28,1774879384.08,63.80,✓ COMPLETED,5,2,"C37, C38"
37,125.0,1/3,1774879323.01,1774879386.85,63.85,✓ COMPLETED,5,2,"C36, C38"
38,187.5,2/3,1774879328.02,1774879391.81,63.80,✓ COMPLETED,5,3,"C36, C37, C39"
39,281.2,3/3,1774879388.10,1774879451.77,63.67,✓ COMPLETED,5,3,"C38, C40, C41"
40,421.9,1/3,1774879393.10,1774879456.74,63.63,✓ COMPLETED,5,3,"C39, C41, C42"
41,632.8,2/3,1774879398.10,1774879461.79,63.69,✓ COMPLETED,5,4,"C39, C40, C42, C43"
42,949.2,3/3,1774879453.18,1774879516.92,63.74,✓ COMPLETED,5,3,"C40, C41, C43"
43,1423.8,1/3,1774879458.19,1774879521.90,63.71,✓ COMPLETED,5,3,"C41, C42, C44"
44,2135.7,2/3,1774879516.92,1774879580.65,63.73,✓ COMPLETED,5,1,C43
45,3203.6,3/3,1774879580.65,1774879644.49,63.84,✓ COMPLETED,5,2,"C46, C47"
46,125.0,1/3,1774879583.35,1774879647.07,63.73,✓ COMPLETED,5,2,"C45, C47"
47,187.5,2/3,1774879588.35,1774879652.13,63.78,✓ COMPLETED,5,3,"C45, C46, C48"
48,281.2,3/3,1774879648.44,1774879712.27,63.82,✓ COMPLETED,5,3,"C47, C49, C50"
49,421.9,1/3,1774879653.44,1774879717.09,63.65,✓ COMPLETED,5,3,"C48, C50, C51"
50,632.8,2/3,1774879658.44,1774879722.23,63.78,✓ COMPLETED,5,4,"C48, C49, C51, C52"
51,949.2,3/3,1774879713.53,1774879777.45,63.93,✓ COMPLETED,5,3,"C49, C50, C52"
52,1423.8,1/3,1774879718.53,1774879782.29,63.76,✓ COMPLETED,5,3,"C50, C51, C53"
53,2135.7,2/3,1774879777.45,1774879841.39,63.94,✓ COMPLETED,5,1,C52
54,3203.6,3/3,1774879841.39,1774879905.16,63.77,✓ COMPLETED,5,2,"C55, C56"
55,125.0,1/3,1774879843.70,1774879907.45,63.74,✓ COMPLETED,5,2,"C54, C56"
56,187.5,2/3,1774879848.70,1774879912.43,63.72,✓ COMPLETED,5,3,"C54, C55, C57"
