DETAILED TIMELINE - FIRST HOUR (3600 seconds)
Shows ACTUAL overlapping container execution with correct parallelism

Configuration:
Base Memory (M0),125.0 MB
Memory Multiplier,1.5x
Total GPU Memory,4096.0 MB
Container Duration,60 seconds (1 min)
Max Concurrent,3
Reset Interval,3 containers (dynamic)

Time (s),Containers Running,Container IDs,Memory Used (MB),Memory %,Remaining (MB),Can Launch New?,Decision Reason
0,1,C1,125.0,3.05%,3971.0,YES,OK
5,2,"C1, C2",312.5,7.63%,3783.5,YES,OK
10,3,"C1, C2, C3",593.8,14.50%,3502.2,NO,Max parallel
15,3,"C1, C2, C3",593.8,14.50%,3502.2,NO,Max parallel
20,3,"C1, C2, C3",593.8,14.50%,3502.2,NO,Max parallel
25,3,"C1, C2, C3",593.8,14.50%,3502.2,NO,Max parallel
30,3,"C1, C2, C3",593.8,14.50%,3502.2,NO,Max parallel
35,3,"C1, C2, C3",593.8,14.50%,3502.2,NO,Max parallel
40,3,"C1, C2, C3",593.8,14.50%,3502.2,NO,Max parallel
45,3,"C1, C2, C3",593.8,14.50%,3502.2,NO,Max parallel
50,3,"C1, C2, C3",593.8,14.50%,3502.2,NO,Max parallel
55,3,"C1, C2, C3",593.8,14.50%,3502.2,NO,Max parallel
60,3,"C2, C3, C4",593.8,14.50%,3502.2,NO,Max parallel
65,3,"C3, C4, C5",593.8,14.50%,3502.2,NO,Max parallel
70,3,"C4, C5, C6",593.8,14.50%,3502.2,NO,Max parallel
75,3,"C4, C5, C6",593.8,14.50%,3502.2,NO,Max parallel
80,3,"C4, C5, C6",593.8,14.50%,3502.2,NO,Max parallel
85,3,"C4, C5, C6",593.8,14.50%,3502.2,NO,Max parallel
90,3,"C4, C5, C6",593.8,14.50%,3502.2,NO,Max parallel
95,3,"C4, C5, C6",593.8,14.50%,3502.2,NO,Max parallel
100,3,"C4, C5, C6",593.8,14.50%,3502.2,NO,Max parallel
105,3,"C4, C5, C6",593.8,14.50%,3502.2,NO,Max parallel
110,3,"C4, C5, C6",593.8,14.50%,3502.2,NO,Max parallel
115,3,"C4, C5, C6",593.8,14.50%,3502.2,NO,Max parallel
120,3,"C5, C6, C7",593.8,14.50%,3502.2,NO,Max parallel
125,3,"C6, C7, C8",593.8,14.50%,3502.2,NO,Max parallel
130,3,"C7, C8, C9",593.8,14.50%,3502.2,NO,Max parallel
135,3,"C7, C8, C9",593.8,14.50%,3502.2,NO,Max parallel
140,3,"C7, C8, C9",593.8,14.50%,3502.2,NO,Max parallel
145,3,"C7, C8, C9",593.8,14.50%,3502.2,NO,Max parallel
150,3,"C7, C8, C9",593.8,14.50%,3502.2,NO,Max parallel
155,3,"C7, C8, C9",593.8,14.50%,3502.2,NO,Max parallel
160,3,"C7, C8, C9",593.8,14.50%,3502.2,NO,Max parallel
165,3,"C7, C8, C9",593.8,14.50%,3502.2,NO,Max parallel
170,3,"C7, C8, C9",593.8,14.50%,3502.2,NO,Max parallel
175,3,"C7, C8, C9",593.8,14.50%,3502.2,NO,Max parallel
180,3,"C8, C9, C10",593.8,14.50%,3502.2,NO,Max parallel
185,3,"C9, C10, C11",593.8,14.50%,3502.2,NO,Max parallel
190,3,"C10, C11, C12",593.8,14.50%,3502.2,NO,Max parallel
195,3,"C10, C11, C12",593.8,14.50%,3502.2,NO,Max parallel
200,3,"C10, C11, C12",593.8,14.50%,3502.2,NO,Max parallel
205,3,"C10, C11, C12",593.8,14.50%,3502.2,NO,Max parallel
210,3,"C10, C11, C12",593.8,14.50%,3502.2,NO,Max parallel
215,3,"C10, C11, C12",593.8,14.50%,3502.2,NO,Max parallel
220,3,"C10, C11, C12",593.8,14.50%,3502.2,NO,Max parallel
225,3,"C10, C11, C12",593.8,14.50%,3502.2,NO,Max parallel
230,3,"C10, C11, C12",593.8,14.50%,3502.2,NO,Max parallel
235,3,"C10, C11, C12",593.8,14.50%,3502.2,NO,Max parallel
240,3,"C11, C12, C13",593.8,14.50%,3502.2,NO,Max parallel
245,3,"C12, C13, C14",593.8,14.50%,3502.2,NO,Max parallel
250,3,"C13, C14, C15",593.8,14.50%,3502.2,NO,Max parallel
255,3,"C13, C14, C15",593.8,14.50%,3502.2,NO,Max parallel
260,3,"C13, C14, C15",593.8,14.50%,3502.2,NO,Max parallel
265,3,"C13, C14, C15",593.8,14.50%,3502.2,NO,Max parallel
270,3,"C13, C14, C15",593.8,14.50%,3502.2,NO,Max parallel
275,3,"C13, C14, C15",593.8,14.50%,3502.2,NO,Max parallel
280,3,"C13, C14, C15",593.8,14.50%,3502.2,NO,Max parallel
285,3,"C13, C14, C15",593.8,14.50%,3502.2,NO,Max parallel
290,3,"C13, C14, C15",593.8,14.50%,3502.2,NO,Max parallel
