MEMORY USAGE TIMELINE
Generated from container execution schedule with dynamic memory model (cycle=3)
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 125.0 MB
  Memory Multiplier: 1.5
  Container Duration: 60 seconds
  Reset Interval: 3 containers (dynamic)

Timestamp (s),Active Containers (count),Container IDs,Total Memory Used (MB),Used %,Remaining Capacity (MB),Available %,Memory Pressure,Can Launch?
0,1,C1,125.0,3.1%,3971.0,96.9%,LOW,YES
5,2,"C1, C2",312.5,7.6%,3783.5,92.4%,LOW,YES
10,3,"C1, C2, C3",593.8,14.5%,3502.2,85.5%,LOW,YES
15,4,"C1, C2, C3, C4",718.8,17.5%,3377.2,82.5%,LOW,YES
20,5,"C1, C2, C3, C4, C5",906.2,22.1%,3189.8,77.9%,LOW,YES
25,6,"C1, C2, C3, C4, C5, C6",1187.5,29.0%,2908.5,71.0%,LOW,YES
30,7,"C1, C2, C3, C4, C5, C6, C7",1312.5,32.0%,2783.5,68.0%,LOW,YES
35,8,"C1, C2, C3, C4, C5, C6, C7, C8",1500.0,36.6%,2596.0,63.4%,LOW,YES
40,9,"C1, C2, C3, C4, C5, C6, C7, C8, C9",1781.2,43.5%,2314.8,56.5%,LOW,YES
45,10,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10",1906.2,46.5%,2189.8,53.5%,LOW,YES
50,11,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11",2093.8,51.1%,2002.2,48.9%,MEDIUM,YES
55,12,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
60,12,"C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
65,12,"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
70,12,"C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
75,12,"C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
80,12,"C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
85,12,"C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
90,12,"C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
95,12,"C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
100,12,"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
105,12,"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
110,12,"C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
115,12,"C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
120,12,"C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
125,12,"C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
130,12,"C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
