PART 2 - SCHEDULING ALGORITHM DESIGN
Non-blocking Event-Driven Scheduler with Dynamic Memory Reset (cycle=3)
Configuration:
  Base Memory: 125.0 MB
  Multiplier: 1.5
  Total GPU Memory: 4096.0 MB
  Container Duration: 60 seconds
  Max Concurrent: 3
"  Memory Reset: Dynamic (cycle=3, computed at startup)"

SCHEDULER STATE TIMELINE - First 3600 seconds of execution
Note: Actual containers overlap. Timeline shows scheduling decisions at 5-second intervals.

Time (s),Container ID,State,Memory Required (MB),Active Containers (count),Active IDs,Total Memory Used (MB),Available Memory (MB),Event Description,Launch Decision,Note
0,1,CREATED,125.0,1,C1,125.0,3971.0,Container 1 launched (reset pos 1),✓ YES (1/3),1 now active
5,2,CREATED,187.5,2,"C1, C2",312.5,3783.5,Container 2 launched (reset pos 2),✓ YES (2/3),2 now active
10,3,CREATED,281.2,3,"C1, C2, C3",593.8,3502.2,Container 3 launched (reset pos 3),✓ YES (3/3),3 now active
60,1,COMPLETED,125.0,2,"C2, C3",468.8,3627.2,Container 1 released resources,N/A,Memory freed
60,4,CREATED,125.0,3,"C2, C3, C4",593.8,3502.2,Container 4 launched (reset pos 1),✓ YES (3/3),3 now active
65,2,COMPLETED,187.5,2,"C3, C4",406.2,3689.8,Container 2 released resources,N/A,Memory freed
65,5,CREATED,187.5,3,"C3, C4, C5",593.8,3502.2,Container 5 launched (reset pos 2),✓ YES (3/3),3 now active
70,3,COMPLETED,281.2,2,"C4, C5",312.5,3783.5,Container 3 released resources,N/A,Memory freed
70,6,CREATED,281.2,3,"C4, C5, C6",593.8,3502.2,Container 6 launched (reset pos 3),✓ YES (3/3),3 now active
120,4,COMPLETED,125.0,2,"C5, C6",468.8,3627.2,Container 4 released resources,N/A,Memory freed
120,7,CREATED,125.0,3,"C5, C6, C7",593.8,3502.2,Container 7 launched (reset pos 1),✓ YES (3/3),3 now active
125,5,COMPLETED,187.5,2,"C6, C7",406.2,3689.8,Container 5 released resources,N/A,Memory freed
125,8,CREATED,187.5,3,"C6, C7, C8",593.8,3502.2,Container 8 launched (reset pos 2),✓ YES (3/3),3 now active
130,6,COMPLETED,281.2,2,"C7, C8",312.5,3783.5,Container 6 released resources,N/A,Memory freed
130,9,CREATED,281.2,3,"C7, C8, C9",593.8,3502.2,Container 9 launched (reset pos 3),✓ YES (3/3),3 now active
180,7,COMPLETED,125.0,2,"C8, C9",468.8,3627.2,Container 7 released resources,N/A,Memory freed
180,10,CREATED,125.0,3,"C8, C9, C10",593.8,3502.2,Container 10 launched (reset pos 1),✓ YES (3/3),3 now active
185,8,COMPLETED,187.5,2,"C9, C10",406.2,3689.8,Container 8 released resources,N/A,Memory freed
185,11,CREATED,187.5,3,"C9, C10, C11",593.8,3502.2,Container 11 launched (reset pos 2),✓ YES (3/3),3 now active
190,9,COMPLETED,281.2,2,"C10, C11",312.5,3783.5,Container 9 released resources,N/A,Memory freed
190,12,CREATED,281.2,3,"C10, C11, C12",593.8,3502.2,Container 12 launched (reset pos 3),✓ YES (3/3),3 now active
240,10,COMPLETED,125.0,2,"C11, C12",468.8,3627.2,Container 10 released resources,N/A,Memory freed
240,13,CREATED,125.0,3,"C11, C12, C13",593.8,3502.2,Container 13 launched (reset pos 1),✓ YES (3/3),3 now active
245,11,COMPLETED,187.5,2,"C12, C13",406.2,3689.8,Container 11 released resources,N/A,Memory freed
245,14,CREATED,187.5,3,"C12, C13, C14",593.8,3502.2,Container 14 launched (reset pos 2),✓ YES (3/3),3 now active
250,12,COMPLETED,281.2,2,"C13, C14",312.5,3783.5,Container 12 released resources,N/A,Memory freed
