CONTAINER LIFECYCLE STATE TRACKING
State Machine: 7-State Container Lifecycle
Configuration:
  Base Memory: 125.0 MB
  Memory Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

STATE DEFINITIONS
State,Phase,Description,Actions
CREATED,Registration,Container registered in scheduler,Memory allocated from pool
STARTING,Initialization,Subprocess being created,Process object created
ALLOCATING_MEMORY,GPU Setup,GPU memory allocation in progress,torch.zeros() executed
RUNNING,Execution,Container actively using GPU,Worker process executing
RELEASING_MEMORY,Cleanup,Memory being released,torch.cuda.empty_cache() called
COMPLETED,Final (Success),Container completed successfully,"Exit code 0, memory freed"
FAILED,Final (Error),Container failed with error,"Exit code != 0, memory freed"

Container ID,Current State,Timestamp (s),Time Since Launch (s),Memory Allocated (MB),Container Status,State Description
1,STARTING,1774878336.96,0.00,125.0,✓ SUCCESS,Process being launched
1,ALLOCATING_MEMORY,1774878336.96,0.00,125.0,✓ SUCCESS,GPU memory being allocated
1,RUNNING,1774878336.96,0.00,125.0,✓ SUCCESS,Active execution on GPU
1,RELEASING_MEMORY,1774878400.77,63.81,125.0,✓ SUCCESS,Releasing allocated memory
1,COMPLETED,1774878400.77,63.81,125.0,✓ SUCCESS,Finished successfully
2,STARTING,1774878341.97,0.00,187.5,✓ SUCCESS,Process being launched
2,ALLOCATING_MEMORY,1774878341.97,0.00,187.5,✓ SUCCESS,GPU memory being allocated
2,RUNNING,1774878341.97,0.00,187.5,✓ SUCCESS,Active execution on GPU
2,RELEASING_MEMORY,1774878405.61,63.65,187.5,✓ SUCCESS,Releasing allocated memory
2,COMPLETED,1774878405.61,63.65,187.5,✓ SUCCESS,Finished successfully
3,STARTING,1774878346.97,0.00,281.2,✓ SUCCESS,Process being launched
3,ALLOCATING_MEMORY,1774878346.97,0.00,281.2,✓ SUCCESS,GPU memory being allocated
3,RUNNING,1774878346.97,0.00,281.2,✓ SUCCESS,Active execution on GPU
3,RELEASING_MEMORY,1774878410.58,63.61,281.2,✓ SUCCESS,Releasing allocated memory
3,COMPLETED,1774878410.58,63.61,281.2,✓ SUCCESS,Finished successfully
4,STARTING,1774878402.02,0.00,421.9,✓ SUCCESS,Process being launched
4,ALLOCATING_MEMORY,1774878402.02,0.00,421.9,✓ SUCCESS,GPU memory being allocated
4,RUNNING,1774878402.02,0.00,421.9,✓ SUCCESS,Active execution on GPU
4,RELEASING_MEMORY,1774878465.72,63.70,421.9,✓ SUCCESS,Releasing allocated memory
4,COMPLETED,1774878465.72,63.70,421.9,✓ SUCCESS,Finished successfully
5,STARTING,1774878407.02,0.00,632.8,✓ SUCCESS,Process being launched
5,ALLOCATING_MEMORY,1774878407.03,0.00,632.8,✓ SUCCESS,GPU memory being allocated
5,RUNNING,1774878407.03,0.00,632.8,✓ SUCCESS,Active execution on GPU
5,RELEASING_MEMORY,1774878470.81,63.78,632.8,✓ SUCCESS,Releasing allocated memory
5,COMPLETED,1774878470.81,63.78,632.8,✓ SUCCESS,Finished successfully
6,STARTING,1774878412.03,0.00,949.2,✓ SUCCESS,Process being launched
6,ALLOCATING_MEMORY,1774878412.03,0.00,949.2,✓ SUCCESS,GPU memory being allocated
6,RUNNING,1774878412.03,0.00,949.2,✓ SUCCESS,Active execution on GPU
6,RELEASING_MEMORY,1774878475.82,63.78,949.2,✓ SUCCESS,Releasing allocated memory
6,COMPLETED,1774878475.82,63.78,949.2,✓ SUCCESS,Finished successfully
7,STARTING,1774878467.08,0.00,1423.8,✓ SUCCESS,Process being launched
7,ALLOCATING_MEMORY,1774878467.08,0.00,1423.8,✓ SUCCESS,GPU memory being allocated
7,RUNNING,1774878467.08,0.00,1423.8,✓ SUCCESS,Active execution on GPU
7,RELEASING_MEMORY,1774878530.83,63.74,1423.8,✓ SUCCESS,Releasing allocated memory
7,COMPLETED,1774878530.83,63.74,1423.8,✓ SUCCESS,Finished successfully
8,STARTING,1774878475.82,0.00,2135.7,✓ SUCCESS,Process being launched
8,ALLOCATING_MEMORY,1774878475.82,0.00,2135.7,✓ SUCCESS,GPU memory being allocated
8,RUNNING,1774878475.82,0.00,2135.7,✓ SUCCESS,Active execution on GPU
8,RELEASING_MEMORY,1774878539.57,63.75,2135.7,✓ SUCCESS,Releasing allocated memory
8,COMPLETED,1774878539.57,63.75,2135.7,✓ SUCCESS,Finished successfully
9,STARTING,1774878539.57,0.00,3203.6,✓ SUCCESS,Process being launched
9,ALLOCATING_MEMORY,1774878539.57,0.00,3203.6,✓ SUCCESS,GPU memory being allocated
9,RUNNING,1774878539.57,0.00,3203.6,✓ SUCCESS,Active execution on GPU
9,RELEASING_MEMORY,1774878603.38,63.81,3203.6,✓ SUCCESS,Releasing allocated memory
9,COMPLETED,1774878603.38,63.81,3203.6,✓ SUCCESS,Finished successfully
10,STARTING,1774878542.16,0.00,125.0,✓ SUCCESS,Process being launched
10,ALLOCATING_MEMORY,1774878542.16,0.00,125.0,✓ SUCCESS,GPU memory being allocated
10,RUNNING,1774878542.16,0.00,125.0,✓ SUCCESS,Active execution on GPU
10,RELEASING_MEMORY,1774878605.92,63.75,125.0,✓ SUCCESS,Releasing allocated memory
10,COMPLETED,1774878605.92,63.75,125.0,✓ SUCCESS,Finished successfully
11,STARTING,1774878547.16,0.00,187.5,✓ SUCCESS,Process being launched
11,ALLOCATING_MEMORY,1774878547.16,0.00,187.5,✓ SUCCESS,GPU memory being allocated
11,RUNNING,1774878547.16,0.00,187.5,✓ SUCCESS,Active execution on GPU
11,RELEASING_MEMORY,1774878610.91,63.74,187.5,✓ SUCCESS,Releasing allocated memory
11,COMPLETED,1774878610.91,63.74,187.5,✓ SUCCESS,Finished successfully
12,STARTING,1774878607.23,0.00,281.2,✓ SUCCESS,Process being launched
12,ALLOCATING_MEMORY,1774878607.23,0.00,281.2,✓ SUCCESS,GPU memory being allocated
12,RUNNING,1774878607.23,0.00,281.2,✓ SUCCESS,Active execution on GPU
12,RELEASING_MEMORY,1774878670.92,63.70,281.2,✓ SUCCESS,Releasing allocated memory
12,COMPLETED,1774878670.92,63.70,281.2,✓ SUCCESS,Finished successfully
13,STARTING,1774878612.23,0.00,421.9,✓ SUCCESS,Process being launched
13,ALLOCATING_MEMORY,1774878612.23,0.00,421.9,✓ SUCCESS,GPU memory being allocated
13,RUNNING,1774878612.23,0.00,421.9,✓ SUCCESS,Active execution on GPU
13,RELEASING_MEMORY,1774878675.90,63.68,421.9,✓ SUCCESS,Releasing allocated memory
13,COMPLETED,1774878675.90,63.68,421.9,✓ SUCCESS,Finished successfully
14,STARTING,1774878617.23,0.00,632.8,✓ SUCCESS,Process being launched
14,ALLOCATING_MEMORY,1774878617.23,0.00,632.8,✓ SUCCESS,GPU memory being allocated
14,RUNNING,1774878617.23,0.00,632.8,✓ SUCCESS,Active execution on GPU
14,RELEASING_MEMORY,1774878680.94,63.71,632.8,✓ SUCCESS,Releasing allocated memory
14,COMPLETED,1774878680.94,63.71,632.8,✓ SUCCESS,Finished successfully
15,STARTING,1774878672.29,0.00,949.2,✓ SUCCESS,Process being launched
15,ALLOCATING_MEMORY,1774878672.29,0.00,949.2,✓ SUCCESS,GPU memory being allocated
15,RUNNING,1774878672.29,0.00,949.2,✓ SUCCESS,Active execution on GPU
15,RELEASING_MEMORY,1774878735.93,63.64,949.2,✓ SUCCESS,Releasing allocated memory
15,COMPLETED,1774878735.93,63.64,949.2,✓ SUCCESS,Finished successfully
16,STARTING,1774878677.29,0.00,1423.8,✓ SUCCESS,Process being launched
16,ALLOCATING_MEMORY,1774878677.29,0.00,1423.8,✓ SUCCESS,GPU memory being allocated
16,RUNNING,1774878677.29,0.00,1423.8,✓ SUCCESS,Active execution on GPU
16,RELEASING_MEMORY,1774878740.99,63.70,1423.8,✓ SUCCESS,Releasing allocated memory
16,COMPLETED,1774878740.99,63.70,1423.8,✓ SUCCESS,Finished successfully
17,STARTING,1774878735.93,0.00,2135.7,✓ SUCCESS,Process being launched
17,ALLOCATING_MEMORY,1774878735.93,0.00,2135.7,✓ SUCCESS,GPU memory being allocated
17,RUNNING,1774878735.93,0.00,2135.7,✓ SUCCESS,Active execution on GPU
