CHRONOLOGICAL EVENT TIMELINE
Complete scheduling events with container state transitions and memory status
Generated:,2026-03-30 17:24:28

CONFIGURATION
Base Memory:,10.0 MB
Memory Multiplier:,1.5x
Total GPU Memory:,4096.0 MB
Container Duration:,60s
Max Concurrent:,3
Reset Interval (cycle):,3

Time (s),Event,Container,Action,Active Containers,Memory Used (MB),Memory %,Free Memory (MB),Notes
0.0,LAUNCH,C1,"Launch C1 (type 1/3, 10 MB)",C1,10.0,0.24%,4086.0,C1 starts
5.0,LAUNCH,C2,"Launch C2 (type 2/3, 15 MB)","C1, C2",25.0,0.61%,4071.0,"C2 starts, 2 now active"
10.0,LAUNCH,C3,"Launch C3 (type 3/3, 22 MB)","C1, C2, C3",47.5,1.16%,4048.5,"C3 starts, 3 now active"
63.9,COMPLETION,C1,C1 completes (free 10 MB),"C2, C3",37.5,0.92%,4058.5,"Free C1, 2 still active"
65.1,LAUNCH,C4,"Launch C4 (type 1/3, 34 MB)","C2, C3, C4",71.2,1.74%,4024.8,"C4 starts, 3 now active"
68.6,COMPLETION,C2,C2 completes (free 15 MB),"C3, C4",56.2,1.37%,4039.8,"Free C2, 2 still active"
70.1,LAUNCH,C5,"Launch C5 (type 2/3, 51 MB)","C3, C4, C5",106.9,2.61%,3989.1,"C5 starts, 3 now active"
73.8,COMPLETION,C3,C3 completes (free 22 MB),"C4, C5",84.4,2.06%,4011.6,"Free C3, 2 still active"
75.1,LAUNCH,C6,"Launch C6 (type 3/3, 76 MB)","C4, C5, C6",160.3,3.91%,3935.7,"C6 starts, 3 now active"
128.9,COMPLETION,C4,C4 completes (free 34 MB),"C5, C6",126.6,3.09%,3969.4,"Free C4, 2 still active"
130.1,LAUNCH,C7,"Launch C7 (type 1/3, 114 MB)","C5, C6, C7",240.5,5.87%,3855.5,"C7 starts, 3 now active"
133.7,COMPLETION,C5,C5 completes (free 51 MB),"C6, C7",189.8,4.63%,3906.2,"Free C5, 2 still active"
135.1,LAUNCH,C8,"Launch C8 (type 2/3, 171 MB)","C6, C7, C8",360.7,8.81%,3735.3,"C8 starts, 3 now active"
139.0,COMPLETION,C6,C6 completes (free 76 MB),"C7, C8",284.8,6.95%,3811.2,"Free C6, 2 still active"
140.1,LAUNCH,C9,"Launch C9 (type 3/3, 256 MB)","C7, C8, C9",541.1,13.21%,3554.9,"C9 starts, 3 now active"
193.7,COMPLETION,C7,C7 completes (free 114 MB),"C8, C9",427.1,10.43%,3668.9,"Free C7, 2 still active"
195.2,LAUNCH,C10,"Launch C10 (type 1/3, 384 MB)","C8, C9, C10",811.6,19.81%,3284.4,"C10 starts, 3 now active"
198.8,COMPLETION,C8,C8 completes (free 171 MB),"C9, C10",640.7,15.64%,3455.3,"Free C8, 2 still active"
