PART 1 - MATHEMATICAL MODELING
Memory Growth Model: M(n) = M₀ × 1.5^(n-1)
Configuration:
  Base Memory: 10.0 MB
  Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

Container Number,Memory (MB),M(1)+M(2)+M(3),3 Parallel?,M(n)+M(n+1),2 Parallel?,M(n),1 Parallel?
1,10.0,47.5,✓ YES,25.0,✓ YES,10.0,✓ YES
2,15.0,71.2,✓ YES,37.5,✓ YES,15.0,✓ YES
3,22.5,106.9,✓ YES,56.2,✓ YES,22.5,✓ YES
4,33.8,160.3,✓ YES,84.4,✓ YES,33.8,✓ YES
5,50.6,240.5,✓ YES,126.6,✓ YES,50.6,✓ YES
6,75.9,360.7,✓ YES,189.8,✓ YES,75.9,✓ YES
7,113.9,541.1,✓ YES,284.8,✓ YES,113.9,✓ YES
8,170.9,811.6,✓ YES,427.1,✓ YES,170.9,✓ YES
9,256.3,1217.4,✓ YES,640.7,✓ YES,256.3,✓ YES
10,384.4,1826.1,✓ YES,961.1,✓ YES,384.4,✓ YES
11,576.7,2739.1,✓ YES,1441.6,✓ YES,576.7,✓ YES
12,865.0,4108.6,✗ NO,2162.4,✓ YES,865.0,✓ YES
13,1297.5,3243.7,✓ YES,3243.7,✓ YES,1297.5,✓ YES
14,1946.2,1946.2,✓ YES,1946.2,✓ YES,1946.2,✓ YES
