PART 3 - STARVATION PREVENTION ANALYSIS
Comparing three memory cap policy approaches
Configuration:
  Base Memory: 10.0 MB
  Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

Approach,Description,Max Containers,Max Parallel,Starvation?,Throughput/24h,Recommendation
Sliding Window,"Exponential growth continues, parallelism drops",9,Drops 3→0,Yes,~4,NOT RECOMMENDED ✗
Dynamic Reset (cycle=3),Reset when next > GPU (ACTUAL),∞,3,No,4320,RECOMMENDED ✓
Reset Every 4,Reset after C4 back to C1 size,432+,Varies 1-3,No,288,Acceptable
Capped at 2048,Cap individual container max at 2048 MB,288+,Drops to 1-2,No,288,Not optimal

RECOMMENDATION: Dynamic Reset (cycle=3) — computed at startup
"Rationale: Maintains constant-parallelism cycling, adapts to any base_memory, prevents starvation"
Formula: memory = base × (multiplier ^ ((n-1) % 3))

Container Number,No Reset (MB),Dynamic (cycle=3) (MB),Reset Every 4 (MB),Capped at 2GB (MB)
1,10,10,10,10
2,15,15,15,15
3,22,22,22,22
4,34,10,34,34
5,51,15,10,51
6,76,22,15,76
7,114,10,22,114
8,171,15,34,171
9,256,22,10,256
10,384,10,15,384
11,577,15,22,577
12,865,22,34,865
13,1297,10,10,1297
14,1946,15,15,1946
