PART 1 - THROUGHPUT ANALYSIS
Configuration:
  Simulation Duration: 1.0 hours (60.0 minutes)
  Container Duration: 60s (1m)
  Total Time Slots: 60.0 slots
  GPU Memory: 4096.0 MB
  Base Memory: 10.0 MB
  Multiplier: 1.5

Time Slot,Start Time (min),End Time (min),Container #,Memory (MB),Max Parallel at Time,Containers Running,Total Memory Used (MB),Remaining Capacity (MB),Can Launch Next?
1,0,1,1,10.0,3,3,10.0,4086.0,✓ YES
2,1,2,2,15.0,3,3,25.0,4071.0,✓ YES
3,2,3,3,22.5,3,3,47.5,4048.5,✓ YES
4,3,4,4,33.8,3,3,81.2,4014.8,✓ YES
5,4,5,5,50.6,3,3,131.9,3964.1,✓ YES
6,5,6,6,75.9,3,3,207.8,3888.2,✓ YES
7,6,7,7,113.9,3,3,321.7,3774.3,✓ YES
8,7,8,8,170.9,3,3,492.6,3603.4,✓ YES
9,8,9,9,256.3,3,3,748.9,3347.1,✓ YES
10,9,10,10,384.4,3,3,1133.3,2962.7,✓ YES
11,10,11,11,576.7,3,3,1710.0,2386.0,✓ YES
12,11,12,12,865.0,2,1.0,2574.9,1521.1,✓ YES
13,12,13,13,1297.5,2,2,1297.5,2798.5,✓ YES
14,13,14,14,1946.2,1,0.0,3243.7,852.3,✓ YES
15,14,15,15,2919.3,1,0,0.0,4096.0,✗ NO
16,15,16,15,2919.3,1,0.0,2919.3,1176.7,✓ YES
17,16,17,16,4378.9,1,0,0.0,4096.0,✗ NO
18,17,18,16,4378.9,1,0,0.0,4096.0,✗ NO
19,18,19,16,4378.9,1,0,0.0,4096.0,✗ NO
20,19,20,16,4378.9,1,0,0.0,4096.0,✗ NO
21,20,21,16,4378.9,1,0,0.0,4096.0,✗ NO
22,21,22,16,4378.9,1,0,0.0,4096.0,✗ NO
23,22,23,16,4378.9,1,0,0.0,4096.0,✗ NO
24,23,24,16,4378.9,1,0,0.0,4096.0,✗ NO
25,24,25,16,4378.9,1,0,0.0,4096.0,✗ NO
26,25,26,16,4378.9,1,0,0.0,4096.0,✗ NO
27,26,27,16,4378.9,1,0,0.0,4096.0,✗ NO
28,27,28,16,4378.9,1,0,0.0,4096.0,✗ NO
29,28,29,16,4378.9,1,0,0.0,4096.0,✗ NO
30,29,30,16,4378.9,1,0,0.0,4096.0,✗ NO
31,30,31,16,4378.9,1,0,0.0,4096.0,✗ NO
32,31,32,16,4378.9,1,0,0.0,4096.0,✗ NO
33,32,33,16,4378.9,1,0,0.0,4096.0,✗ NO
34,33,34,16,4378.9,1,0,0.0,4096.0,✗ NO
35,34,35,16,4378.9,1,0,0.0,4096.0,✗ NO
36,35,36,16,4378.9,1,0,0.0,4096.0,✗ NO
37,36,37,16,4378.9,1,0,0.0,4096.0,✗ NO
38,37,38,16,4378.9,1,0,0.0,4096.0,✗ NO
39,38,39,16,4378.9,1,0,0.0,4096.0,✗ NO
40,39,40,16,4378.9,1,0,0.0,4096.0,✗ NO
41,40,41,16,4378.9,1,0,0.0,4096.0,✗ NO
42,41,42,16,4378.9,1,0,0.0,4096.0,✗ NO
43,42,43,16,4378.9,1,0,0.0,4096.0,✗ NO
44,43,44,16,4378.9,1,0,0.0,4096.0,✗ NO
45,44,45,16,4378.9,1,0,0.0,4096.0,✗ NO
46,45,46,16,4378.9,1,0,0.0,4096.0,✗ NO
47,46,47,16,4378.9,1,0,0.0,4096.0,✗ NO
48,47,48,16,4378.9,1,0,0.0,4096.0,✗ NO
49,48,49,16,4378.9,1,0,0.0,4096.0,✗ NO
50,49,50,16,4378.9,1,0,0.0,4096.0,✗ NO
51,50,51,16,4378.9,1,0,0.0,4096.0,✗ NO
52,51,52,16,4378.9,1,0,0.0,4096.0,✗ NO
53,52,53,16,4378.9,1,0,0.0,4096.0,✗ NO
54,53,54,16,4378.9,1,0,0.0,4096.0,✗ NO
55,54,55,16,4378.9,1,0,0.0,4096.0,✗ NO
56,55,56,16,4378.9,1,0,0.0,4096.0,✗ NO
57,56,57,16,4378.9,1,0,0.0,4096.0,✗ NO
58,57,58,16,4378.9,1,0,0.0,4096.0,✗ NO
59,58,59,16,4378.9,1,0,0.0,4096.0,✗ NO
60,59,60,16,4378.9,1,0,0.0,4096.0,✗ NO

PARALLELISM ANALYSIS - Maximum Containers Supported

Containers in Parallel,Memory Sum Formula,Max n Value,Feasible?
1,M(n) ≤ 4096,15,✓ YES
2,M(n) + M(n+1) ≤ 4096,13,✓ YES
3,M(n) + M(n+1) + M(n+2) ≤ 4096,11,✓ YES
