timestamp_s,time_hms,active_containers,memory_mb,utilization_percent
0,00:00:00,1,862.0,21.04
30,00:00:30,3,4094.5,99.96
60,00:01:00,3,4094.5,99.96
90,00:01:30,3,4094.5,99.96
120,00:02:00,3,4094.5,99.96
150,00:02:30,3,4094.5,99.96
180,00:03:00,3,4094.5,99.96
210,00:03:30,3,4094.5,99.96
240,00:04:00,3,4094.5,99.96
270,00:04:30,3,4094.5,99.96
300,00:05:00,3,4094.5,99.96
330,00:05:30,3,4094.5,99.96
360,00:06:00,3,4094.5,99.96
390,00:06:30,3,4094.5,99.96
420,00:07:00,3,4094.5,99.96
450,00:07:30,3,4094.5,99.96
480,00:08:00,3,4094.5,99.96
510,00:08:30,3,4094.5,99.96
540,00:09:00,3,4094.5,99.96
570,00:09:30,3,4094.5,99.96
600,00:10:00,3,4094.5,99.96
630,00:10:30,3,4094.5,99.96
660,00:11:00,3,4094.5,99.96
690,00:11:30,3,4094.5,99.96
720,00:12:00,3,4094.5,99.96
750,00:12:30,3,4094.5,99.96
780,00:13:00,3,4094.5,99.96
810,00:13:30,3,4094.5,99.96
840,00:14:00,3,4094.5,99.96
870,00:14:30,3,4094.5,99.96
900,00:15:00,3,4094.5,99.96
930,00:15:30,3,4094.5,99.96
960,00:16:00,3,4094.5,99.96
990,00:16:30,3,4094.5,99.96
1020,00:17:00,3,4094.5,99.96
1050,00:17:30,3,4094.5,99.96
1080,00:18:00,3,4094.5,99.96
1110,00:18:30,3,4094.5,99.96
1140,00:19:00,3,4094.5,99.96
1170,00:19:30,3,4094.5,99.96
1200,00:20:00,3,4094.5,99.96
1230,00:20:30,3,4094.5,99.96
1260,00:21:00,3,4094.5,99.96
1290,00:21:30,3,4094.5,99.96
1320,00:22:00,3,4094.5,99.96
1350,00:22:30,3,4094.5,99.96
1380,00:23:00,3,4094.5,99.96
1410,00:23:30,3,4094.5,99.96
1440,00:24:00,3,4094.5,99.96
1470,00:24:30,3,4094.5,99.96
1500,00:25:00,3,4094.5,99.96
1530,00:25:30,3,4094.5,99.96
1560,00:26:00,3,4094.5,99.96
1590,00:26:30,3,4094.5,99.96
1620,00:27:00,3,4094.5,99.96
1650,00:27:30,3,4094.5,99.96
1680,00:28:00,3,4094.5,99.96
1710,00:28:30,3,4094.5,99.96
1740,00:29:00,3,4094.5,99.96
1770,00:29:30,3,4094.5,99.96
1800,00:30:00,3,4094.5,99.96
1830,00:30:30,3,4094.5,99.96
1860,00:31:00,3,4094.5,99.96
1890,00:31:30,3,4094.5,99.96
1920,00:32:00,3,4094.5,99.96
1950,00:32:30,3,4094.5,99.96
